job_id,client_id,company_id,company_name,title,job_category,budget_min,budget_max,currency,urgency_level,experience_level,job_description,skills,required_hours_estimate,job_status,assigned_freelancer_id,posted_at,deadline,client_reputation_score,client_payment_verified,created_at,updated_at
job_4d7bad3b,user_035,company_024,OrbitWorks Solutions,Full Stack Dev for Looking for Backend Engineer to implement secure authentication and payment systems in a Crypto Exchange platform. High-priority project due to security and compliance requirements. Strong Python/Django knowledge is essential.,DevOps,71762,107643,INR,High,Junior,"Looking for a blockchain-based financial app. The role includes prototyping, testing, and delivering user-friendly interfaces. Medium-priority project with flexible deadlines.","[""React"", ""Git"", ""English""]",217,Assigned,,2025-10-06T06:39:51.786844+00:00,,4.5,True,2025-10-06T06:39:51.786844+00:00,2025-10-06T06:39:51.786844+00:00
job_3a01a99b,user_047,company_034,PrimeShift Digital,"SEO Specialist for Backend Engineer needed to implement robust authentication, database optimizations, and API security for an E-commerce platform. Medium-priority with focus on performance and reliability.",Design,24567,36850,INR,Low,Mid,UI/UX Designer required to rebuild the Portfolio Website using React/Next.js and integrating with backend team essential.,"[""Flutter"", ""Git"", ""English""]",79,Open,,2025-11-19T06:39:51.786844+00:00,2025-12-20T06:39:51.786844+00:00,4.9,True,2025-11-19T06:39:51.786844+00:00,2025-11-22T06:39:51.786844+00:00
job_0c4c6495,user_031,company_036,DeepLogic Systems,Full Stack Dev for UI/UX Designer urgently required for AI Chatbot interface redesign to improve workflow and usability. Collaboration with frontend developers is essential.,Blockchain,65278,97917,INR,High,Junior,"Frontend Developer urgently required to create marketing landing pages for a SaaS platform, focusing on accessibility and usability is critical.","[""Python"", ""Git"", ""English""]",220,Open,,2025-11-01T06:39:51.786844+00:00,2025-12-16T06:39:51.786844+00:00,3.6,True,2025-11-01T06:39:51.786844+00:00,2025-11-06T06:39:51.786844+00:00
job_489cca6b,user_006,company_019,MatrixEdge Pvt Ltd,"Full Stack Dev for Looking for a Content Writer to create detailed technical blogs and documentation for our AI Chatbot product. The content should be engaging, clear, and SEO-optimized. Medium-priority project with flexible deadlines, but strong research skills are essential.",Web Development,25801,38702,INR,Medium,Mid,"Frontend Developer urgently required to enhance the UI/UX of a Fintech App. Medium-priority, strong Node.js and React skills required.","[""DevOps"", ""Git"", ""English""]",348,Open,,2025-11-15T06:39:51.786844+00:00,2026-01-07T06:39:51.786844+00:00,4.6,True,2025-11-15T06:39:51.786844+00:00,2025-11-15T06:39:51.786844+00:00
job_fc6c4e22,user_001,company_020,AeroLogic Systems,"UI/UX Designer for UI/UX Designer required to redesign onboarding and dashboard experience for a SaaS platform. Medium-priority with wireframing, prototyping, and user testing.",Design,32765,49148,INR,Low,Mid,"UI/UX Designer required to implement responsive UI, accessibility improvements, and feature enhancements for a SaaS platform. Medium-priority with focus on performance and reliability.","[""Flutter"", ""Git"", ""English""]",31,Open,,2025-10-26T06:39:51.788872+00:00,2025-12-08T06:39:51.788872+00:00,3.7,True,2025-10-26T06:39:51.788872+00:00,2025-10-26T06:39:51.788872+00:00
job_5ef92acf,user_039,company_002,FinSys Pvt Ltd,"DevOps Engineer for UI/UX Designer needed for the redesign of a Crypto Exchange dashboard. The project involves creating wireframes, user testing, and final visual designs. High-priority due to upcoming launch, collaboration with backend required.",DevOps,108060,162091,INR,High,Senior,Backend Engineer needed for fixing bugs and implement SEO optimization. Medium-priority project with flexible deadlines.,"[""Golang"", ""Git"", ""English""]",88,Open,,2025-11-24T06:39:51.788872+00:00,2025-12-23T06:39:51.788872+00:00,3.9,False,2025-11-24T06:39:51.788872+00:00,2025-11-29T06:39:51.788872+00:00
job_0004a759,user_016,company_012,CipherGrid Analytics,DevOps Engineer for Frontend Developer required to rebuild the Portfolio Website using React/Next.js and implement SEO optimization. Medium-priority project with flexible deadlines.,Content/Marketing,19305,28958,INR,Medium,Mid,"UI/UX Designer needed for a SaaS platform, focusing on accessibility and usability is critical.","[""DevOps"", ""Git"", ""English""]",276,Open,,2025-10-09T06:39:51.788872+00:00,2025-10-25T06:39:51.788872+00:00,3.7,True,2025-10-09T06:39:51.788872+00:00,2025-10-13T06:39:51.788872+00:00
job_99639b49,user_044,company_028,InfinitePixels Studio,Full Stack Dev for Frontend Developer required to rebuild Portfolio Website using React/Next.js and improve SEO performance. Medium-priority project.,Content/Marketing,10798,16197,INR,High,Mid,"UI/UX Designer urgently required to optimize database performance, and maintain authentication systems for a Fintech Dashboard. Medium-priority.","[""Python"", ""Git"", ""English""]",250,Open,,2025-10-11T06:39:51.788872+00:00,2025-11-01T06:39:51.788872+00:00,4.5,True,2025-10-11T06:39:51.788872+00:00,2025-10-16T06:39:51.788872+00:00
job_1b790f36,user_011,company_022,Hyperlane Technologies,"Frontend Developer for Full Stack Developer to implement automated invoicing, reporting, and notification systems for a SaaS platform. Medium-priority with flexible deadlines.",Mobile,51251,76876,INR,High,Mid,Seeking a UI/UX Designer required to enhance Portfolio Website using React/Next.js and integrating with backend team essential.,"[""React"", ""Git"", ""English""]",21,InProgress,,2025-11-26T06:39:51.788872+00:00,2025-12-21T06:39:51.788872+00:00,4.1,True,2025-11-26T06:39:51.788872+00:00,2025-12-01T06:39:51.788872+00:00
job_d5e9ce8b,user_018,company_003,DesignStudio X,"Content Writer for Full Stack Developer urgently required for adding real-time messaging, reporting, and analytics to a Fintech platform. Strong Node.js and React expertise needed.",Web Development,106256,159384,INR,High,Mid,UI/UX Designer for a SaaS platform. Medium-priority project with clear formatting standards.,"[""React"", ""Git"", ""English""]",356,InProgress,,2025-10-30T06:39:51.788872+00:00,2025-12-22T06:39:51.788872+00:00,4.9,True,2025-10-30T06:39:51.788872+00:00,2025-11-04T06:39:51.788872+00:00
job_0c6bb414,user_040,company_014,Softcloud Networks,"Content Writer for We are looking for a Full Stack Developer to implement payment gateway integration and automate invoice generation for our Fintech Dashboard. Knowledge of Python, Django, and React is required. This is a long-term project, with deadlines staggered over the next 3 months.",DevOps,22996,34495,INR,Medium,Mid,"UI/UX Designer to improve usability, accessibility, and user testing required. Strong Figma skills needed.","[""Figma"", ""Git"", ""English""]",205,Completed,,2025-11-22T06:39:51.788872+00:00,2025-12-01T06:39:51.788872+00:00,4.2,False,2025-11-22T06:39:51.788872+00:00,2025-11-26T06:39:51.788872+00:00
job_3c4a4f1b,user_035,company_027,BoldBridge Software,"Smart Contract Dev for UI/UX Designer to improve user onboarding flow for a Crypto Exchange platform. Project includes wireframes, prototypes, user testing, and high-fidelity designs. Medium-priority.",AI/ML,82301,123452,INR,High,Mid,"Backend Engineer urgently required for a blockchain-based financial app. The role requires integration of smart contracts, and decentralized applications. Medium-priority project requiring collaboration with backend developers is required, and the work involves collaborating with multiple distributed teams.","[""React"", ""Git"", ""English""]",328,Open,,2025-10-08T06:39:51.788872+00:00,2025-11-28T06:39:51.788872+00:00,3.0,True,2025-10-08T06:39:51.788872+00:00,2025-10-13T06:39:51.788872+00:00
job_39b4409b,user_025,company_006,AlphaUp Startups,"Full Stack Dev for Frontend Developer urgently required to fix UI bugs, optimize performance, and implement responsive design for an E-commerce platform. Coordination with backend team essential.",Blockchain,19208,28813,INR,Medium,Senior,"Looking for Backend Engineer needed for integration of third-party analytics, payment services, and reporting dashboards for a Fintech App. The role includes prototyping, testing, and final visual designs. High-priority due to security and compliance requirements. Strong Python/Django knowledge is essential.","[""Python"", ""Git"", ""English""]",102,Open,,2025-11-10T06:39:51.788872+00:00,2025-12-29T06:39:51.788872+00:00,3.9,True,2025-11-10T06:39:51.788872+00:00,2025-11-13T06:39:51.788872+00:00
job_796d7558,user_038,company_021,CodeSmith Agency,"UI/UX Designer for UI/UX Designer required to create engaging dashboards, prototypes, and marketing materials for a SaaS platform. Medium-priority with collaborative communication skills.",Content/Marketing,99151,148726,INR,High,Mid,UI/UX Designer required to redesign the user onboarding flow for a SaaS product. Medium-priority project with responsive design and SEO optimization. Medium-priority project with responsive design for an AI Chatbot. Strong Node.js and React expertise needed.,"[""Python"", ""Git"", ""English""]",345,Open,,2025-10-23T06:39:51.788872+00:00,2025-12-21T06:39:51.788872+00:00,3.3,True,2025-10-23T06:39:51.788872+00:00,2025-10-25T06:39:51.788872+00:00
job_e79ded32,user_017,company_025,RapidScale Ventures,"Content Writer for UI/UX Designer urgently needed for AI Chatbot redesign to improve usability, accessibility, and user satisfaction. Strong Figma skills required.",DevOps,78918,118377,INR,High,Mid,Frontend Developer required to maintain and scale our SaaS platform backend and frontend knowledge. Collaboration with product managers is needed.,"[""Solidity"", ""Git"", ""English""]",52,Open,,2025-11-10T06:39:51.788872+00:00,2025-12-30T06:39:51.788872+00:00,4.0,True,2025-11-10T06:39:51.788872+00:00,2025-11-14T06:39:51.788872+00:00
job_ae7c888a,user_034,company_016,FusionCraft Technologies,"Smart Contract Dev for Full Stack Developer urgently required for adding real-time messaging, reporting, and analytics to a Fintech platform. Strong Node.js and React expertise needed.",Design,18832,28248,INR,Medium,Junior,"Full Stack Developer to implement responsive design, accessibility improvements, and prototypes for a SaaS platform. Medium-priority with flexible deadlines.","[""Flutter"", ""Git"", ""English""]",194,Open,,2025-09-27T06:39:51.790881+00:00,2025-11-06T06:39:51.790881+00:00,4.0,True,2025-09-27T06:39:51.790881+00:00,2025-09-27T06:39:51.790881+00:00
job_9059a566,user_039,company_025,RapidScale Ventures,"Full Stack Dev for UI/UX Designer to improve the onboarding experience for a SaaS platform. Medium-priority project, with wireframes, prototyping, and user testing required. Strong Figma skills needed.",Design,29017,43526,INR,Low,Mid,"Frontend Developer needed to integrate real-time chat, notification systems, and reporting dashboards for a Content Writer to create detailed technical blogs and documentation for our Fintech Dashboard. Medium-priority.","[""Flutter"", ""Git"", ""English""]",27,Assigned,user_024,2025-10-28T06:39:51.790881+00:00,2025-12-11T06:39:51.790881+00:00,3.8,True,2025-10-28T06:39:51.790881+00:00,2025-10-29T06:39:51.790881+00:00
job_080d1cbc,user_009,company_036,DeepLogic Systems,Content Writer for Frontend Developer urgently required to fix critical UI bugs on an E-commerce platform. Candidate must be available immediately and have React/Next.js expertise. Coordination with backend is required.,DevOps,99572,149359,INR,High,Mid,"Full Stack Developer urgently required to fix UI bugs, optimize performance, and maintain authentication systems for a redesign of an AI Chatbot redesign to improve the onboarding experience for a mobile-first redesign of our Portfolio Website. The candidate should have experience with React/Next.js and improve SEO performance. Medium-priority project.","[""Flutter"", ""Git"", ""English""]",80,Open,,2025-09-27T06:39:51.790881+00:00,2025-10-24T06:39:51.790881+00:00,4.0,False,2025-09-27T06:39:51.790881+00:00,2025-10-02T06:39:51.790881+00:00
job_dbd0031e,user_037,company_028,InfinitePixels Studio,"SEO Specialist for Full Stack Developer to implement automated notifications, reporting dashboards, and backend API enhancements for a SaaS platform. Medium-priority, with flexible deadlines. Knowledge of Node.js and React is essential.",Blockchain,64804,97206,INR,High,Senior,"UI/UX Designer required to redesign UI components, implement responsive layouts, and optimize dashboard responsiveness for an E-commerce App. The project has a tight deadline of 2 weeks, and collaboration with frontend developers is essential.","[""DevOps"", ""Git"", ""English""]",390,Open,,2025-10-24T06:39:51.790881+00:00,2025-11-20T06:39:51.790881+00:00,4.8,True,2025-10-24T06:39:51.790881+00:00,2025-10-27T06:39:51.790881+00:00
job_02f4f76c,user_017,company_006,AlphaUp Startups,DevOps Engineer for UI/UX Designer urgently required for redesign of an AI Chatbot dashboard to improve workflow and usability. Strong collaboration skills required.,Content/Marketing,54310,81465,INR,High,Junior,Full Stack Developer to implement new smart contract features for a Fintech platform. Strong coordination required.,"[""Node.js"", ""Git"", ""English""]",203,Assigned,,2025-11-05T06:39:51.790881+00:00,2025-12-07T06:39:51.790881+00:00,4.2,True,2025-11-05T06:39:51.790881+00:00,2025-11-09T06:39:51.790881+00:00
job_47fa7d32,user_030,company_018,StellarPeak Studios,"Content Writer for Backend Engineer needed for database migration, API optimization, and scaling infrastructure for a SaaS platform. Medium-priority with flexible deadlines.",Web Development,70597,105896,INR,High,Senior,"Backend Engineer urgently required to implement automated invoicing, reporting, and notifications for a Crypto Exchange platform. Deadline is critical.","[""Figma"", ""Git"", ""English""]",61,InProgress,,2025-11-19T06:39:51.791892+00:00,2025-12-03T06:39:51.791892+00:00,3.4,False,2025-11-19T06:39:51.791892+00:00,2025-11-21T06:39:51.791892+00:00
job_1a20400d,user_024,company_012,CipherGrid Analytics,Backend Engineer for Frontend Developer urgently required to fix UI bugs and optimize dashboard responsiveness for an E-commerce platform. Coordination with backend required.,AI/ML,22643,33964,INR,Low,Junior,We are urgently looking for a SaaS product. Medium-priority project with phased deadlines.,"[""Flutter"", ""Git"", ""English""]",76,Cancelled,,2025-11-13T06:39:51.791892+00:00,2025-12-05T06:39:51.791892+00:00,3.5,True,2025-11-13T06:39:51.791892+00:00,2025-11-15T06:39:51.791892+00:00
job_88360bb7,user_012,company_001,TechCorp Solutions,"Full Stack Dev for Frontend Developer urgently needed for a mobile-first redesign of an AI Chatbot interface. Candidate must have experience with React/Next.js, accessibility, and responsive layouts. Deadline is strict.",Mobile,117868,176803,INR,High,Senior,We are urgently looking for a SaaS platform. Medium-priority project with focus on performance and reliability.,"[""React"", ""Git"", ""English""]",174,Assigned,user_028,2025-10-18T06:39:51.792401+00:00,2025-12-13T06:39:51.792401+00:00,4.6,True,2025-10-18T06:39:51.792401+00:00,2025-10-22T06:39:51.792401+00:00
job_63a8176d,user_038,company_017,QuantumVerse Labs,Full Stack Dev for Looking for a Smart Contract Developer to audit and deploy secure contracts on Ethereum and Polygon networks. The work is critical for a crypto exchange platform and requires strict attention to security practices. Immediate availability is needed.,Web Development,44856,67285,INR,High,Mid,"Backend Engineer needed to maintain, scale, and optimize API endpoints for a SaaS platform features, including reporting dashboards for a Fintech Dashboard. Medium-priority project with flexible deadlines.","[""React"", ""Git"", ""English""]",313,Cancelled,,2025-11-24T06:39:51.792401+00:00,2026-01-18T06:39:51.792401+00:00,4.8,True,2025-11-24T06:39:51.792401+00:00,2025-11-27T06:39:51.792401+00:00
job_db4fda6f,user_040,company_029,MetaCore Dynamics,Smart Contract Dev for UI/UX Designer urgently required for AI Chatbot interface redesign to improve workflow and usability. Collaboration with frontend developers is essential.,Blockchain,53355,80032,INR,High,Senior,"Content Writer needed to integrate real-time chat, notification systems, and reporting features into an AI Chatbot interface. Candidate must be proficient in React/Next.js and familiar with building secure, high-performance applications. The project is medium-priority but has phased deadlines.","[""Figma"", ""Git"", ""English""]",351,Open,,2025-11-05T06:39:51.793213+00:00,2025-12-04T06:39:51.793213+00:00,4.7,False,2025-11-05T06:39:51.793213+00:00,2025-11-07T06:39:51.793213+00:00
job_b223d924,user_031,company_029,MetaCore Dynamics,"Frontend Developer for Full Stack Developer to implement automated invoicing, reporting, and notification systems for a SaaS platform. Medium-priority with flexible deadlines.",DevOps,103056,154584,INR,High,Junior,"Full Stack Developer required to implement automated notifications, reporting dashboards, and backend API enhancements for a Crypto Exchange. Candidate must have Python/Django experience.","[""React"", ""Git"", ""English""]",27,Open,,2025-10-03T06:39:51.793213+00:00,2025-10-23T06:39:51.793213+00:00,3.4,False,2025-10-03T06:39:51.793213+00:00,2025-10-06T06:39:51.793213+00:00
job_00e44720,user_023,company_010,NovaStack Innovations,"Smart Contract Dev for Looking for a Content Writer to create detailed technical blogs and documentation for our AI Chatbot product. The content should be engaging, clear, and SEO-optimized. Medium-priority project with flexible deadlines, but strong research skills are essential.",Content/Marketing,31558,47337,INR,Medium,Mid,"Frontend Developer needed to integrate third-party analytics, payment services, and reporting dashboards for a Fintech Dashboard. Medium-priority project requiring collaboration with DevOps.","[""DevOps"", ""Git"", ""English""]",32,Open,,2025-11-13T06:39:51.793213+00:00,2025-12-23T06:39:51.793213+00:00,4.9,False,2025-11-13T06:39:51.793213+00:00,2025-11-14T06:39:51.793213+00:00
job_aa159d8b,user_047,company_004,CloudNova Systems,"Backend Engineer for Backend Engineer needed for database migration, API optimization, and scaling infrastructure for a SaaS platform. Medium-priority with flexible deadlines.",Web Development,70864,106297,INR,High,Senior,Backend Engineer needed to integrate third-party APIs and databases for a Fintech platform. Medium-priority with collaborative communication skills.,"[""Golang"", ""Git"", ""English""]",340,Open,,2025-10-25T06:39:51.793213+00:00,2025-12-18T06:39:51.793213+00:00,3.1,True,2025-10-25T06:39:51.793213+00:00,2025-10-25T06:39:51.793213+00:00
job_726daea9,user_007,company_024,OrbitWorks Solutions,"UI/UX Designer for Full Stack Developer needed for integration of third-party analytics, payment services, and reporting dashboards for a Fintech Dashboard. Medium-priority.",AI/ML,9032,13548,INR,High,Senior,"Backend Engineer urgently required to fix UI bugs, optimize performance, and implement new features and optimize performance. The candidate must know React/Next.js, responsive design, accessibility improvements, and new UI components. Medium-priority project with clear formatting standards.","[""Python"", ""Git"", ""English""]",207,Open,,2025-10-20T06:39:51.794221+00:00,2025-11-26T06:39:51.794221+00:00,3.3,False,2025-10-20T06:39:51.794221+00:00,2025-10-22T06:39:51.794221+00:00
job_1311f873,user_026,company_020,AeroLogic Systems,"Full Stack Dev for Content Writer needed to create detailed technical documentation for a blockchain platform. Must understand blockchain concepts, smart contracts, and decentralized applications. Medium-priority project with clear formatting standards.",Content/Marketing,87396,131095,INR,High,Junior,"Frontend Developer urgently required to redesign the Portfolio Website using React/Next.js and mobile optimization. Close coordination with backend APIs. High-priority project due to upcoming launch, collaboration with remote teams will be required. Attention to detail and strong documentation skills.","[""Python"", ""Git"", ""English""]",156,Open,,2025-10-02T06:39:51.794221+00:00,2025-11-23T06:39:51.794221+00:00,4.3,True,2025-10-02T06:39:51.794221+00:00,2025-10-04T06:39:51.794221+00:00
job_e33c4375,user_013,company_008,PixelForge Interactive,UI/UX Designer for Frontend Developer urgently required to fix UI bugs and optimize dashboard responsiveness for an E-commerce platform. Coordination with backend required.,Mobile,19996,29995,INR,High,Junior,"Full Stack Developer to implement automated notifications, reporting dashboards, notifications, and reporting features for a Fintech App. Medium-priority.","[""Python"", ""Git"", ""English""]",249,Open,,2025-10-19T06:39:51.795298+00:00,2025-11-08T06:39:51.795298+00:00,4.9,True,2025-10-19T06:39:51.795298+00:00,2025-10-21T06:39:51.795298+00:00
job_b8158adc,user_019,company_014,Softcloud Networks,Backend Engineer for Full Stack Developer needed to integrate third-party APIs and automate reporting features for an E-commerce platform. Medium-priority project requiring strong backend and frontend knowledge. Collaboration with DevOps is preferred.,Blockchain,8013,12020,INR,High,Junior,"Frontend Developer required to fix UI bugs, optimize performance, and implement SEO optimization. Medium-priority project with phased deadlines and strong problem-solving skills are essential.","[""DevOps"", ""Git"", ""English""]",220,InProgress,,2025-11-04T06:39:51.795298+00:00,2025-12-11T06:39:51.795298+00:00,3.3,False,2025-11-04T06:39:51.795298+00:00,2025-11-05T06:39:51.795298+00:00
job_2a05292f,user_047,company_017,QuantumVerse Labs,"Frontend Developer for UI/UX Designer required to redesign onboarding and dashboard experience for a SaaS platform. Medium-priority with wireframing, prototyping, and user testing.",AI/ML,90958,136437,INR,High,Junior,We are urgently looking for an AI Chatbot platform. Medium-priority project.,"[""DevOps"", ""Git"", ""English""]",316,Open,user_001,2025-10-23T06:39:51.795298+00:00,2025-11-07T06:39:51.795298+00:00,3.2,True,2025-10-23T06:39:51.795298+00:00,2025-10-28T06:39:51.795298+00:00
job_4009ba57,user_026,company_027,BoldBridge Software,"Backend Engineer for Frontend Developer to implement mobile-first responsive design, accessibility improvements, and dashboard enhancements for a Fintech App. Medium-priority.",DevOps,37070,55605,INR,High,Mid,We are urgently looking for an E-commerce platform. Coordination with backend is required.,"[""Python"", ""Git"", ""English""]",262,InProgress,,2025-11-13T06:39:51.795805+00:00,2025-11-21T06:39:51.795805+00:00,3.6,True,2025-11-13T06:39:51.795805+00:00,2025-11-13T06:39:51.795805+00:00
job_3af7aba0,user_001,company_005,NeonByte Labs,DevOps Engineer for Urgent hire: Frontend Developer for a high-traffic E-commerce App to implement new features and optimize performance. The candidate must be skilled in React/Next.js and mobile optimization. Close coordination with backend and QA teams is required.,Content/Marketing,8487,12730,INR,High,Mid,"Frontend Developer for a Fintech Dashboard. The role requires integration of third-party analytics, payment services, and reporting dashboards for a SaaS platform, focusing on accessibility and usability is critical.","[""DevOps"", ""Git"", ""English""]",392,Open,,2025-10-13T06:39:51.795805+00:00,2025-11-18T06:39:51.795805+00:00,4.4,True,2025-10-13T06:39:51.795805+00:00,2025-10-15T06:39:51.795805+00:00
job_8ca97962,user_017,company_034,PrimeShift Digital,"Frontend Developer for Backend Engineer needed to implement robust authentication, database optimizations, and API security for an E-commerce platform. Medium-priority with focus on performance and reliability.",Mobile,32676,49015,INR,Medium,Junior,"Full Stack Developer to enhance Portfolio Website for a Crypto Exchange. Candidate must have experience with React/Next.js, accessibility, and user testing required. Strong Figma skills required.","[""Golang"", ""Git"", ""English""]",198,Open,user_046,2025-11-06T06:39:51.796517+00:00,2025-11-21T06:39:51.796517+00:00,4.3,False,2025-11-06T06:39:51.796517+00:00,2025-11-06T06:39:51.796517+00:00
job_bd2fdcc5,user_024,company_030,NorthStar Automation,"DevOps Engineer for Backend Engineer needed for database migration, API optimization, and scaling infrastructure for a SaaS platform. Medium-priority with flexible deadlines.",Content/Marketing,8120,12180,INR,Low,Senior,"Full Stack Developer to implement automated notifications, reporting dashboards, and backend API enhancements for an E-commerce App. Knowledge of Node.js and React is required.","[""DevOps"", ""Git"", ""English""]",360,Cancelled,,2025-11-21T06:39:51.796517+00:00,2025-11-30T06:39:51.796517+00:00,4.6,False,2025-11-21T06:39:51.796517+00:00,2025-11-26T06:39:51.796517+00:00
